[r2] 0/36 units already journalled, 36 remaining, budget 420s
  [1/36] tgate/s8 -> {'frac_det': 0.47291666666666665, 'frac_det_exact': 0.47291666666666665, 'frac_det_naive': 0.7803819444444445, 'det_sd': 0.09183223683555912, 'disagree': 0, 'n_draws': 32, 'pivots': 6.0, 'coh_pivot': 0.7044318334094577, 'null_pivot': 0.7488135518232084, 'n_terms_pivot': 4.0, 'coh_dense': 0.7044318334094577, 'null_dense': 0.7515297568946255, 'n_terms_dense': 4.0} (1s)
  [2/36] tgate/s32 -> {'frac_det': 0.3917410714285714, 'frac_det_exact': 0.3917410714285714, 'frac_det_naive': 0.73388671875, 'det_sd': 0.07601585358865098, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.6994861383857547, 'null_pivot': 0.6741741185573338, 'n_terms_pivot': 5.78125, 'coh_dense': 0.3549923695572417, 'null_dense': 0.36051066984094127, 'n_terms_dense': 22.0} (2s)
  [3/36] tgate/s128 -> {'frac_det': 0.3895089285714286, 'frac_det_exact': 0.3895089285714286, 'frac_det_naive': 0.73291015625, 'det_sd': 0.07903645614444291, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.7555680688469055, 'null_pivot': 0.6811572347067294, 'n_terms_pivot': 5.9375, 'coh_dense': 0.2675293797969209, 'null_dense': 0.15001556735270233, 'n_terms_dense': 94.0} (2s)
  [4/36] tgate/s512 -> {'frac_det': 0.3850446428571429, 'frac_det_exact': 0.3850446428571429, 'frac_det_naive': 0.73095703125, 'det_sd': 0.10667097537103118, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.5674595042542022, 'null_pivot': 0.6322625690260296, 'n_terms_pivot': 6.0625, 'coh_dense': 0.18848836473908034, 'null_dense': 0.07609428921089893, 'n_terms_dense': 382.0} (3s)
  [5/36] tgate/s1024 -> {'frac_det': 0.390625, 'frac_det_exact': 0.390625, 'frac_det_naive': 0.7333984375, 'det_sd': 0.06372367153401873, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.6105431897481528, 'null_pivot': 0.6208338549745844, 'n_terms_pivot': 6.34375, 'coh_dense': 0.2824927432813244, 'null_dense': 0.05116189375688683, 'n_terms_dense': 766.0} (2s)
  [6/36] tgate/s2048 -> {'frac_det': 0.40625, 'frac_det_exact': 0.40625, 'frac_det_naive': 0.740234375, 'det_sd': 0.08363836604997855, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.7610124398917179, 'null_pivot': 0.6675622469588156, 'n_terms_pivot': 6.03125, 'coh_dense': 0.27409508985586317, 'null_dense': 0.03533257964199572, 'n_terms_dense': 1534.0} (3s)
  [7/36] softmax/s8 -> {'frac_det': 1.0, 'frac_det_exact': 1.0, 'frac_det_naive': 1.0, 'det_sd': 0.0, 'disagree': 0, 'n_draws': 32, 'pivots': 6.0, 'coh_pivot': 1.0, 'null_pivot': 0.9502766339326094, 'n_terms_pivot': 4.0, 'coh_dense': 1.0, 'null_dense': 0.9509518487167112, 'n_terms_dense': 4.0} (1s)
  [8/36] softmax/s32 -> {'frac_det': 1.0, 'frac_det_exact': 1.0, 'frac_det_naive': 1.0, 'det_sd': 0.0, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 1.0, 'null_pivot': 0.9902785100719995, 'n_terms_pivot': 6.03125, 'coh_dense': 1.0, 'null_dense': 0.9583165326554921, 'n_terms_dense': 22.0} (2s)
  [9/36] softmax/s128 -> {'frac_det': 1.0, 'frac_det_exact': 1.0, 'frac_det_naive': 1.0, 'det_sd': 0.0, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 1.0, 'null_pivot': 0.9586656813004063, 'n_terms_pivot': 5.9375, 'coh_dense': 1.0, 'null_dense': 0.9498688982551282, 'n_terms_dense': 94.0} (2s)
  [10/36] softmax/s512 -> {'frac_det': 1.0, 'frac_det_exact': 1.0, 'frac_det_naive': 1.0, 'det_sd': 0.0, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 1.0, 'null_pivot': 0.9980364485447607, 'n_terms_pivot': 5.90625, 'coh_dense': 1.0, 'null_dense': 0.9618070961518657, 'n_terms_dense': 382.0} (2s)
  [11/36] softmax/s1024 -> {'frac_det': 1.0, 'frac_det_exact': 1.0, 'frac_det_naive': 1.0, 'det_sd': 0.0, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 1.0, 'null_pivot': 0.9807928756989398, 'n_terms_pivot': 6.0625, 'coh_dense': 1.0, 'null_dense': 0.8914114587397428, 'n_terms_dense': 766.0} (2s)
