J3 VALUE-PATH REPEAT  steps=150 n_train=8192 seeds=[0, 1, 2, 3, 4] n_draw=256 threads=2
kind             nonlinear   seed                 rate                    k                 used   neg_influence_frac        min_influence
------------------------------------------------------------------------------------------------------------------------------------------
pivot_unsigned   True           0             0.004132                    1                  242             0.410156            -3.893360
pivot_unsigned   False          0             0.000000                    0                  240             0.937500            -0.876022
pivot_signed     True           0             0.023438                    6                  256             0.550781           -24.535297
pivot_signed     False          0             0.007812                    2                  256             0.679688            -1.856356
pivot_unsigned   True           1             0.004016                    1                  249             0.457031            -5.023165
pivot_unsigned   False          1             0.000000                    0                  246             0.000000             0.000000
pivot_signed     True           1             0.011719                    3                  256             0.527344            -6.812647
pivot_signed     False          1             0.003906                    1                  256             0.335938            -0.022538
pivot_unsigned   True           2             0.012931                    3                  232             0.644531            -7.011358
pivot_unsigned   False          2             0.000000                    0                  233             0.910156            -1.339274
pivot_signed     True           2             0.027344                    7                  256             0.554688           -14.185878
pivot_signed     False          2             0.000000                    0                  256             0.699219            -0.603038
pivot_unsigned   True           3             0.000000                    0                  243             0.402344            -4.128444
pivot_unsigned   False          3             0.000000                    0                  239             0.933594            -0.215431
pivot_signed     True           3             0.035156                    9                  256             0.453125            -4.881998
pivot_signed     False          3             0.007812                    2                  256             0.296875            -0.017706
pivot_unsigned   True           4             0.012195                    3                  246             0.507812            -5.903111
pivot_unsigned   False          4             0.000000                    0                  242             0.945312            -0.013958
